SURVEY:   LSST
SNID:             8722  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       150.908203  # deg (avg among obs)
DEC:      2.537361  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0185 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.087 0.068 0.047 0.035 0.028 0.023  # MW mag-XT per band
PEAKMJD:  61734.309     # estimate for LC fit codes
MJD_TRIGGER:       61735.309  
MJD_DETECT_FIRST:  61734.293  
MJD_DETECT_LAST:   61760.262  

REDSHIFT_HELIO:   0.007878 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.009052 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           798293    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1725   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              150.908203     # deg  
SIM_DEC:             2.537361      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0185   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.154     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61722.078    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        1.114    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        12.09  # days 
SIM_TRESTMAX:        37.85  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.327 14.386 14.928 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 46 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61734.2917 LSST-g DDF  9.03502e+04  1.6078e+01 4096  1.000 33.870  3.00 5.453e+01  15.0994 
OBS: 61734.2994 LSST-i DDF  5.68851e+04  8.5260e+00 4096  1.000 34.800  2.47 1.970e+02  15.6052 
OBS: 61734.3090 LSST-r DDF  1.04649e+05  1.0892e+01 4096  1.000 34.880  2.50 1.336e+02  14.9468 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61735.3086
OBS: 61735.3092 LSST-g DDF  8.33975e+04  1.4758e+01 6144  1.000 33.970  3.05 5.584e+01  15.1942 
OBS: 61735.3168 LSST-i DDF  5.74232e+04  8.4989e+00 4096  1.000 34.830  2.85 1.907e+02  15.6106 
OBS: 61736.2902 LSST-g DDF  7.71462e+04  1.4780e+01 4096  1.000 33.890  3.72 5.455e+01  15.2856 
OBS: 61736.2978 LSST-i DDF  5.77791e+04  8.5654e+00 4096  1.000 34.810  2.58 1.955e+02  15.5992 
OBS: 61736.3075 LSST-r DDF  9.52018e+04  1.0356e+01 4096  1.000 34.890  2.64 1.327e+02  15.0474 
OBS: 61737.3094 LSST-g DDF  7.02965e+04  1.3202e+01 4096  1.000 34.020  1.97 5.656e+01  15.3883 
OBS: 61737.3170 LSST-i DDF  5.83040e+04  8.3485e+00 4096  1.000 34.850  2.15 1.897e+02  15.5882 
OBS: 61738.2859 LSST-r DDF  9.07632e+04  1.0286e+01 4096  1.000 34.850  2.33 1.333e+02  15.1034 
OBS: 61738.2890 LSST-g DDF  6.33344e+04  9.4060e+00 4096  1.000 34.650  2.72 7.687e+01  15.4900 
OBS: 61738.2953 LSST-i DDF  5.93650e+04  6.2742e+00 4096  1.000 35.500  2.30 2.686e+02  15.5715 
OBS: 61739.2943 LSST-r DDF  8.95856e+04  7.1342e+00 4096  1.000 35.630  2.33 1.874e+02  15.1224 
OBS: 61739.2973 LSST-g DDF  5.78896e+04  1.2155e+01 4096  1.000 33.990  1.98 5.600e+01  15.5948 
OBS: 61739.3016 LSST-i DDF  6.07407e+04  8.1370e+00 4096  1.000 34.940  1.88 2.017e+02  15.5431 
OBS: 61740.2948 LSST-g DDF  5.23039e+04  1.1747e+01 4096  1.000 33.970  3.38 5.542e+01  15.6977 
OBS: 61740.3024 LSST-i DDF  6.23624e+04  8.7115e+00 4096  1.000 34.840  2.43 1.908e+02  15.5115 
OBS: 61740.3121 LSST-r DDF  8.73794e+04  9.6995e+00 4096  1.000 34.930  1.89 1.315e+02  15.1415 
OBS: 61741.2847 LSST-g DDF  4.79418e+04  1.1336e+01 4096  1.000 33.940  2.15 5.502e+01  15.7991 
OBS: 61741.2923 LSST-i DDF  6.41268e+04  8.7866e+00 4096  1.000 34.830  1.86 1.927e+02  15.4866 
OBS: 61741.3020 LSST-r DDF  8.63660e+04  9.6844e+00 4096  1.000 34.920  1.80 1.316e+02  15.1613 
OBS: 61742.2851 LSST-g DDF  4.36822e+04  1.0751e+01 4096  1.000 33.960  2.59 5.519e+01  15.9039 
OBS: 61742.2928 LSST-i DDF  6.48328e+04  8.8560e+00 4096  1.000 34.830  2.03 1.919e+02  15.4653 
OBS: 61742.3025 LSST-r DDF  8.44438e+04  9.5893e+00 4096  1.000 34.920  2.05 1.313e+02  15.1860 
OBS: 61743.2575 LSST-g DDF  3.95969e+04  1.0956e+01 4096  1.000 33.810  2.23 5.268e+01  16.0078 
OBS: 61743.2652 LSST-i DDF  6.57726e+04  9.1513e+00 4096  1.000 34.780  2.07 1.991e+02  15.4524 
OBS: 61743.2749 LSST-r DDF  8.22079e+04  9.7369e+00 4096  1.000 34.860  2.12 1.326e+02  15.2168 
OBS: 61744.2819 LSST-g DDF  3.56069e+04  9.6764e+00 4096  1.000 33.970  2.58 5.497e+01  16.1150 
