SURVEY:   LSST
SNID:             7465  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       149.941406  # deg (avg among obs)
DEC:      1.268370  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0173 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.081 0.064 0.044 0.033 0.026 0.021  # MW mag-XT per band
PEAKMJD:  61088.203     # estimate for LC fit codes
MJD_TRIGGER:       61080.137  
MJD_DETECT_FIRST:  61079.117  
MJD_DETECT_LAST:   61126.242  

REDSHIFT_HELIO:   0.010541 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.011715 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           528271    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.00883 
SIM_REDSHIFT_CMB:    0.01000  
SIM_REDSHIFT_HOST:       0.00883    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            33.1726   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              149.941406     # deg  
SIM_DEC:             1.268370      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0173   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.326     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61089.309    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        -0.243    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -10.10  # days 
SIM_TRESTMAX:        36.61  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 14.327 14.338 14.929 -9.000 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 82 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61079.1184 LSST-g DDF  7.90143e+04  1.3694e+01 4096  1.000 34.070  2.17 6.610e+01  15.2544 
OBS: 61079.1260 LSST-i DDF  6.12474e+04  8.5187e+00 4096  1.000 34.860  2.08 2.027e+02  15.5311 
OBS: 61079.1357 LSST-r DDF  7.83117e+04  8.9968e+00 4096  1.000 34.980  1.90 1.580e+02  15.2668 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61080.1367
OBS: 61080.1376 LSST-g DDF  9.54830e+04  1.4978e+01 6144  1.000 34.080  2.74 5.490e+01  15.0469 
OBS: 61080.1452 LSST-i DDF  7.42113e+04  9.2943e+00 4096  1.000 34.880  2.49 1.898e+02  15.3255 
OBS: 61080.1549 LSST-r DDF  9.39520e+04  9.8095e+00 4096  1.000 34.990  2.31 1.434e+02  15.0710 
OBS: 61081.1604 LSST-g DDF  1.12716e+05  1.5948e+01 4096  1.000 34.120  2.06 5.521e+01  14.8646 
OBS: 61081.1680 LSST-i DDF  8.63303e+04  9.8709e+00 4096  1.000 34.890  1.94 1.811e+02  15.1648 
OBS: 61081.1763 LSST-r DDF  1.09002e+05  1.0249e+01 4096  1.000 35.050  2.09 1.377e+02  14.9034 
OBS: 61082.1920 LSST-g DDF  1.31274e+05  1.6814e+01 4096  1.000 34.170  1.99 5.733e+01  14.7130 
OBS: 61082.1996 LSST-i DDF  9.54367e+04  1.0239e+01 4096  1.000 34.910  1.57 1.780e+02  15.0422 
OBS: 61082.2093 LSST-r DDF  1.25599e+05  1.1180e+01 4096  1.000 35.010  1.61 1.311e+02  14.7606 
OBS: 61083.2225 LSST-g DDF  1.47409e+05  1.7815e+01 4096  1.000 34.170  2.06 5.633e+01  14.5809 
OBS: 61083.2301 LSST-i DDF  1.04515e+05  1.0710e+01 4096  1.000 34.910  1.58 1.760e+02  14.9516 
OBS: 61083.2363 LSST-r DDF  1.39074e+05  1.1281e+01 4096  1.000 35.100  1.51 1.351e+02  14.6434 
OBS: 61086.1501 LSST-g DDF  1.79846e+05  1.4595e+01 4096  1.000 34.820  2.65 7.762e+01  14.3691 
OBS: 61086.1577 LSST-i DDF  1.13116e+05  8.0260e+00 4096  1.000 35.630  2.06 2.566e+02  14.8623 
OBS: 61086.1670 LSST-r DDF  1.69782e+05  9.2901e+00 4096  1.000 35.740  2.01 1.812e+02  14.4224 
OBS: 61087.1469 LSST-r DDF  1.75901e+05  6.0308e+01 4096  1.000 31.720  2.68 2.765e+01  14.3817 
OBS: 61088.2021 LSST-g DDF  1.85898e+05  2.0004e+01 4096  1.000 34.170  2.22 5.591e+01  14.3300 
OBS: 61088.2098 LSST-i DDF  1.09583e+05  1.1051e+01 4096  1.000 34.900  2.07 1.741e+02  14.8969 
OBS: 61088.2195 LSST-r DDF  1.80691e+05  1.3535e+01 4096  1.000 34.990  2.06 1.245e+02  14.3528 
OBS: 61089.1717 LSST-i DDF  1.06693e+05  4.8864e+01 4096  1.000 31.650  2.41 3.912e+01  14.9252 
OBS: 61090.2020 LSST-g DDF  1.83847e+05  1.9891e+01 4096  1.000 34.170  2.08 5.616e+01  14.3325 
OBS: 61090.2096 LSST-i DDF  1.04958e+05  1.0745e+01 4096  1.000 34.910  1.77 1.746e+02  14.9555 
OBS: 61090.2194 LSST-r DDF  1.82986e+05  1.3552e+01 4096  1.000 35.000  1.83 1.251e+02  14.3370 
OBS: 61094.1148 LSST-g DDF  1.67054e+05  1.4220e+01 4096  1.000 34.800  2.96 9.245e+01  14.4408 
OBS: 61094.1224 LSST-i DDF  9.18029e+04  7.4258e+00 4096  1.000 35.600  2.77 2.693e+02  15.0996 
OBS: 61094.1321 LSST-r DDF  1.72133e+05  9.5966e+00 4096  1.000 35.690  2.67 1.915e+02  14.4211 
