SURVEY:   LSST
SNID:             105  # integer or string assigned by survey team (required)
ZP_FLUXCAL:  27.50  # mag = ZP_FLUXCAL - 2.5*log10(FLUXCAL) 
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       151.083984  # deg (avg among obs)
DEC:      1.193748  # deg (avg among obs)
FILTERS:  ugrizY
PIXSIZE:  0.2000  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0240 +- 0.0000  # MW E(B-V) 
MWXT_MAG:  0.112 0.088 0.061 0.045 0.036 0.029  # MW mag-XT per band
PEAKMJD:  61505.055     # estimate for LC fit codes
MJD_TRIGGER:       61493.121  
MJD_DETECT_FIRST:  61493.098  
MJD_DETECT_LAST:   61538.016  

REDSHIFT_HELIO:   0.065529 +- 0.001000  # Helio 
REDSHIFT_FINAL:   0.066776 +- 0.001000  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      BAYESN.T21  
SIM_MODEL_INDEX:     13  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       BAYESN.T21 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           24280    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.06657 
SIM_REDSHIFT_CMB:    0.06782  
SIM_REDSHIFT_HOST:       0.06657    # z of true host
SIM_REDSHIFT_HOST_MATCH: 0.00000    # z of DDLR-matched host
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            37.4197   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_MUSHIFT:         0.0000   # user-defined shift 
SIM_RA:              151.083984     # deg  
SIM_DEC:             1.193748      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0240   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        3   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.289     # host extinction at 5510 A
SIM_RV:            2.610     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         61503.723    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.461    # BayeSN lumi-par
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.96  # days 
SIM_TRESTMAX:        32.15  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ugrizY filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  -9.000 18.593 18.586 18.918 19.157 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 89 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 61493.0964 LSST-g DDF  1.68071e+03  2.2416e+00 4096  1.000 34.140  2.72 5.383e+01  19.4374 
OBS: 61493.1136 LSST-i DDF  1.26823e+03  1.8651e+00 4096  1.000 35.000  2.28 1.839e+02  19.7487 
OBS: 61493.1203 LSST-r DDF  1.58270e+03  1.5861e+00 6144  1.000 35.090  2.38 1.325e+02  19.4971 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=61493.1211
OBS: 61493.1332 LSST-z DDF  1.13889e+03  2.8808e+00 4096  1.000 34.770  2.35 2.550e+02  19.8557 
OBS: 61494.0959 LSST-g DDF  2.01218e+03  2.2981e+00 4096  1.000 34.150  2.24 5.396e+01  19.2477 
OBS: 61494.1035 LSST-i DDF  1.52402e+03  1.8501e+00 4096  1.000 34.900  1.98 1.720e+02  19.5428 
OBS: 61494.1133 LSST-r DDF  1.87082e+03  1.7123e+00 4096  1.000 34.980  2.31 1.215e+02  19.3204 
OBS: 61494.1327 LSST-z DDF  1.35769e+03  3.3083e+00 4096  1.000 34.770  2.79 2.490e+02  19.6683 
OBS: 61497.0577 LSST-r DDF  2.68373e+03  8.0791e+00 4096  1.000 31.740  1.72 2.729e+01  18.9274 
OBS: 61497.0781 LSST-i DDF  2.30988e+03  8.9818e+00 4096  1.000 31.650  1.84 3.847e+01  19.0997 
OBS: 61498.0872 LSST-g DDF  3.24028e+03  2.7398e+00 4096  1.000 34.160  1.67 5.414e+01  18.7225 
OBS: 61498.0948 LSST-i DDF  2.50348e+03  1.9585e+00 4096  1.000 34.900  1.56 1.722e+02  19.0045 
OBS: 61498.1046 LSST-r DDF  2.93347e+03  1.8632e+00 4096  1.000 34.990  1.64 1.218e+02  18.8316 
OBS: 61498.1195 LSST-z DDF  2.02912e+03  2.3188e+00 4096  1.000 34.780  1.57 2.495e+02  19.2365 
OBS: 61499.0773 LSST-g DDF  3.41586e+03  2.7545e+00 4096  1.000 34.180  1.37 5.455e+01  18.6581 
OBS: 61499.0849 LSST-i DDF  2.64041e+03  1.9137e+00 4096  1.000 34.910  1.34 1.726e+02  18.9451 
OBS: 61499.0946 LSST-r DDF  3.14023e+03  1.9165e+00 4096  1.000 35.000  1.69 1.218e+02  18.7560 
OBS: 61499.1096 LSST-z DDF  2.13172e+03  2.3580e+00 4096  1.000 34.780  1.59 2.488e+02  19.1806 
OBS: 61501.0393 LSST-g DDF  3.60919e+03  9.2185e+00 4096  1.000 31.650  1.85 1.710e+01  18.5979 
OBS: 61505.0389 LSST-g DDF  3.55469e+03  1.6775e+00 4096  1.000 35.340  1.89 9.465e+01  18.6182 
OBS: 61505.0465 LSST-i DDF  2.62746e+03  1.2142e+00 4096  1.000 36.090  1.83 3.009e+02  18.9483 
OBS: 61505.0563 LSST-r DDF  3.67196e+03  1.2203e+00 4096  1.000 36.180  1.98 2.115e+02  18.5882 
OBS: 61505.0713 LSST-z DDF  2.08000e+03  1.5003e+00 4096  1.000 35.970  1.89 4.315e+02  19.2054 
OBS: 61506.0669 LSST-g DDF  3.45040e+03  2.8986e+00 4096  1.000 34.160  2.31 5.410e+01  18.6472 
OBS: 61506.0745 LSST-i DDF  2.56377e+03  2.3712e+00 4096  1.000 34.900  2.51 1.719e+02  18.9789 
OBS: 61506.0843 LSST-r DDF  3.63092e+03  2.2101e+00 4096  1.000 34.980  2.48 1.216e+02  18.5992 
OBS: 61506.0992 LSST-z DDF  1.99544e+03  3.4350e+00 4096  1.000 34.770  2.80 2.490e+02  19.2513 
OBS: 61507.0997 LSST-g DDF  3.36388e+03  2.9330e+00 4096  1.000 34.130  2.48 5.368e+01  18.6847 
OBS: 61507.1073 LSST-i DDF  2.48938e+03  2.2229e+00 4096  1.000 34.890  2.17 1.737e+02  19.0167 
